,id,name,sex,job title,fame,Video on/off,range,connectionQ
1,DB,Dietrich Brüggemann,1,2,1,1,2,1
2,CE,Christian Ehrich,1,1,1,1,2,NA
3,CS,Christine Sommer,2,1,2,1,1,NA
4,BM,Ben Münchow,1,1,2,2,NA,NA
5,FK,Felix Klare,1,1,4,1,1,NA
6,CR,Claudia Rippe ,2,1,1,1,2,NA
7,AM,Alexandra Marinescu,2,3,1,2,NA,NA
8,CG,Cem Ali Gültekin,1,1,3,1,4,NA
9,BG,Bernd Gnann,1,1,1,1,3,NA
10,GB,Gianna Valentina Bauer,2,1,3,1,1,NA
